timestamp,action 
1421772730108,REDIRECT_SERVICE
1421772740096,REDIRECT_SERVICE
1421772790093,ADD_SELFLET
1421772800107,REDIRECT_SERVICE
1421772810099,REDIRECT_SERVICE
1421772820094,REDIRECT_SERVICE
1421772830092,REDIRECT_SERVICE
1421772840096,REDIRECT_SERVICE
1421773140089,REDIRECT_SERVICE
1421773150090,REDIRECT_SERVICE
1421773160090,CHANGE_SERVICE_IMPLEMENTATION
1421773170090,REDIRECT_SERVICE
1421773180091,REDIRECT_SERVICE
1421772659633,REDIRECT_SERVICE
1421772669632,REDIRECT_SERVICE
1421772679634,REDIRECT_SERVICE
1421772689653,REDIRECT_SERVICE
1421772699631,REDIRECT_SERVICE
1421772739635,REDIRECT_SERVICE
1421772749633,REDIRECT_SERVICE
1421772759630,REDIRECT_SERVICE
1421772769629,REDIRECT_SERVICE
1421772779629,REDIRECT_SERVICE
1421772829642,ADD_SELFLET
1421773029631,REDIRECT_SERVICE
1421773039639,REDIRECT_SERVICE
1421773049630,REDIRECT_SERVICE
1421773079630,REDIRECT_SERVICE
1421773099638,REDIRECT_SERVICE
1421773109642,REDIRECT_SERVICE
1421773119630,REDIRECT_SERVICE
1421761467201,REDIRECT_SERVICE
1421761477198,REDIRECT_SERVICE
1421761487198,REDIRECT_SERVICE
1421761557201,TEACH_SERVICE
1421761567200,TEACH_SERVICE
1421761577199,REDIRECT_SERVICE
1421761587201,REDIRECT_SERVICE
1421761597206,REDIRECT_SERVICE
1421761607199,REDIRECT_SERVICE
1421761667201,REDIRECT_SERVICE
1421761677214,REDIRECT_SERVICE
1421761687212,REDIRECT_SERVICE
1421761817198,REDIRECT_SERVICE
1421761827200,REDIRECT_SERVICE
1421761837198,REDIRECT_SERVICE
1421761847201,TEACH_SERVICE
1421761857202,REDIRECT_SERVICE
1421761867198,REDIRECT_SERVICE
1421761937201,REDIRECT_SERVICE
1421761947201,REDIRECT_SERVICE
1421761957200,REDIRECT_SERVICE
1421762057200,ADD_SELFLET
1421762117197,REDIRECT_SERVICE
1421762127200,REDIRECT_SERVICE
1421762137198,REDIRECT_SERVICE
1421762147198,REDIRECT_SERVICE
1421762157198,REDIRECT_SERVICE
1421762167197,REDIRECT_SERVICE
1421762177199,REDIRECT_SERVICE
1421762187199,REDIRECT_SERVICE
1421762197199,REDIRECT_SERVICE
1421762207198,REDIRECT_SERVICE
1421762217198,REDIRECT_SERVICE
1421762227198,REDIRECT_SERVICE
